Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	7	0	0.0151971828	0	0	0	0	0	0	0	0	0	0	3
2	8	0	0.0303943656	0	0	0	0	0	0	0	0	0	0	3
3	9	0	0.0455915484	0	0	0	0	0	0	0	0	0	0	3
4	9	0	0.0607887312	0	0	0	0	0	0	0	0	0	0	3
5	10	0	0.0759859141	0	0	0	0	0	0	0	0	0	0	3
6	11	0	0.0911830969	0	0	0	0	0	0	0	0	0	0	3
7	12	0	0.10638028	0	0	0	0	0	0	0	0	0	0	3
8	13	0	0.121577462	0	0	0	0	0	0	0	0	0	0	3
9	14	0	0.136774645	0	0	0	0	0	0	0	0	0	0	3
10	15	0	0.151971828	0	0	0	0	0	0	0	0	0	0	3
11	16	0	0.167169011	0	0	0	0	0	0	0	0	0	0	3
12	16	0	0.182366194	0	0	0	0	0	0	0	0	0	0	3
13	17	0	0.197563377	0	0	0	0	0	0	0	0	0	0	3
14	18	0	0.212760559	0	0	0	0	0	0	0	0	0	0	3
15	18	0	0.227957742	0	0	0	0	0	0	0	0	0	0	3
16	19	0	0.243154925	0	0	0	0	0	0	0	0	0	0	3
17	20	0	0.258352108	0	0	0	0	0	0	0	0	0	0	3
18	21	0	0.273549291	0	0	0	0	0	0	0	0	0	0	3
19	22	0	0.288746473	0	0	0	0	0	0	0	0	0	0	3
20	23	0	0.303943656	0	0	0	0	0	0	0	0	0	0	3
21	23	0	0.319140839	0	0	0	0	0	0	0	0	0	0	3
22	24	0	0.334338022	0	0	0	0	0	0	0	0	0	0	3
23	25	0	0.349535205	0	0	0	0	0	0	0	0	0	0	3
24	26	0	0.364732387	0	0	0	0	0	0	0	0	0	0	3
25	27	0	0.37992957	0	0	0	0	0	0	0	0	0	0	3
26	28	0	0.395126753	0	0	0	0	0	0	0	0	0	0	3
27	28	0	0.410323936	0	0	0	0	0	0	0	0	0	0	3
28	29	0	0.425521119	0	0	0	0	0	0	0	0	0	0	3
29	30	0	0.440718302	0	0	0	0	0	0	0	0	0	0	3
30	31	0	0.455915484	0	0	0	0	0	0	0	0	0	0	3
31	32	0	0.471112667	0	0	0	0	0	0	0	0	0	0	3
32	32	0	0.48630985	0	0	0	0	0	0	0	0	0	0	3
33	33	0	0.501507033	0	0	0	0	0	0	0	0	0	0	3
34	34	0	0.516704216	0	0	0	0	0	0	0	0	0	0	3
35	35	0	0.531901398	0	0	0	0	0	0	0	0	0	0	3
36	36	0	0.547098581	0	0	0	0	0	0	0	0	0	0	3
37	37	0	0.562295764	0	0	0	0	0	0	0	0	0	0	3
38	38	0	0.577492947	0	0	0	0	0	0	0	0	0	0	3
39	39	0	0.59269013	0	0	0	0	0	0	0	0	0	0	3
40	40	0	0.607887312	0	0	0	0	0	0	0	0	0	0	3
41	40	0	0.623084495	0	0	0	0	0	0	0	0	0	0	3
42	41	0	0.638281678	0	0	0	0	0	0	0	0	0	0	3
43	42	0	0.653478861	0	0	0	0	0	0	0	0	0	0	3
44	42	0	0.668676044	0	0	0	0	0	0	0	0	0	0	3
45	43	0	0.683873226	0	0	0	0	0	0	0	0	0	0	3
46	44	0	0.699070409	0	0	0	0	0	0	0	0	0	0	3
47	45	0	0.714267592	0	0	0	0	0	0	0	0	0	0	3
48	46	0	0.729464775	0	0	0	0	0	0	0	0	0	0	3
49	47	0	0.744661958	0	0	0	0	0	0	0	0	0	0	3
50	48	0	0.759859141	0	0	0	0	0	0	0	0	0	0	3
51	49	0	0.775056323	0	0	0	0	0	0	0	0	0	0	3
52	49	0	0.790253506	0	0	0	0	0	0	0	0	0	0	3
53	50	0	0.805450689	0	0	0	0	0	0	0	0	0	0	3
54	51	0	0.820647872	0	0	0	0	0	0	0	0	0	0	3
55	52	0	0.835845055	0	0	0	0	0	0	0	0	0	0	3
56	52	0	0.851042237	0	0	0	0	0	0	0	0	0	0	3
57	53	0	0.86623942	0	0	0	0	0	0	0	0	0	0	3
58	54	0	0.881436603	0	0	0	0	0	0	0	0	0	0	3
59	55	0	0.896633786	0	0	0	0	0	0	0	0	0	0	3
60	55	0	0.911830969	0	0	0	0	0	0	0	0	0	0	3
61	56	0	0.927028151	0	0	0	0	0	0	0	0	0	0	3
62	57	0	0.942225334	0	0	0	0	0	0	0	0	0	0	3
63	57	0	0.957422517	0	0	0	0	0	0	0	0	0	0	3
64	58	0	0.9726197	0	0	0	0	0	0	0	0	0	0	3
65	59	0	0.987816883	0	0	0	0	0	0	0	0	0	0	3
66	59	0	1.00301407	0	0	0	0	0	5e-06	0	100	0	0	3
