Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.022387638	4.60311809e-15	4.60311809e-15	4.60311809e-15	4.60311809e-15	0	0	0	0	0	0	3
2	4	0	0.0447752759	2.70849805e-13	1.37726461e-13	4.60311809e-15	2.70849805e-13	1.33123343e-13	0	0	0	0	0	3
3	5	0	0.0671629139	5.57146102e-13	2.77533008e-13	4.60311809e-15	5.57146102e-13	2.7292989e-13	0	0	0	0	0	3
4	6	0	0.0895505519	8.69846064e-13	4.25611272e-13	4.60311809e-15	8.69846064e-13	4.21008154e-13	0	0	0	0	0	3
5	6	0	0.11193819	1.38466097e-12	6.17421212e-13	4.60311809e-15	1.38466097e-12	6.12818094e-13	0	0	0	0	0	3
6	7	0	0.134325828	2.3769361e-12	9.10673693e-13	4.60311809e-15	2.3769361e-12	9.06070575e-13	0	0	0	0	0	3
7	7	0	0.156713466	6.78141779e-12	1.74935142e-12	4.60311809e-15	6.78141779e-12	1.7447483e-12	0	0	0	0	0	3
8	7	0	0.179101104	3.5146054e-11	5.92393924e-12	4.60311809e-15	3.5146054e-11	5.91933612e-12	0	0	0	0	0	3
9	8	0	0.201488742	1.71892891e-10	2.43649338e-11	4.60311809e-15	1.71892891e-10	2.43603307e-11	0	0	0	0	0	3
10	8	0	0.22387638	4.31583541e-10	6.50867946e-11	4.60311809e-15	4.31583541e-10	6.50821914e-11	0	0	0	0	0	3
11	9	0	0.246264018	7.24624676e-10	1.25044784e-10	4.60311809e-15	7.24624676e-10	1.25040181e-10	0	0	0	0	0	3
12	9	0	0.268651656	8.62296885e-10	1.86482459e-10	4.60311809e-15	8.62296885e-10	1.86477856e-10	0	0	0	0	0	3
13	9	0	0.291039294	1.04447938e-09	2.52482222e-10	4.60311809e-15	1.04447938e-09	2.52477619e-10	0	0	0	0	0	3
14	10	0	0.313426932	1.11054663e-09	3.13772537e-10	4.60311809e-15	1.11054663e-09	3.13767934e-10	0	0	0	0	0	3
15	10	0	0.33581457	1.1313102e-09	3.68275048e-10	4.60311809e-15	1.1313102e-09	3.68270445e-10	0	0	0	0	0	3
16	10	0	0.358202208	1.32659223e-09	4.28169872e-10	4.60311809e-15	1.32659223e-09	4.28165269e-10	0	0	0	0	0	3
17	11	0	0.380589846	1.60015284e-09	4.97110046e-10	4.60311809e-15	1.60015284e-09	4.97105443e-10	0	0	0	0	0	3
18	11	0	0.402977484	1.6261798e-09	5.59836144e-10	4.60311809e-15	1.6261798e-09	5.59831541e-10	0	0	0	0	0	3
19	11	0	0.425365122	1.70839389e-09	6.20286552e-10	4.60311809e-15	1.70839389e-09	6.20281949e-10	0	0	0	0	0	3
20	12	0	0.447752759	1.67064581e-09	6.72804515e-10	4.60311809e-15	1.70839389e-09	6.72799912e-10	0	0	0	0	0	3
21	12	0	0.470140397	1.83950925e-09	7.28361883e-10	4.60311809e-15	1.83950925e-09	7.2835728e-10	0	0	0	0	0	3
22	13	0	0.492528035	2.07621101e-09	7.89627753e-10	4.60311809e-15	2.07621101e-09	7.8962315e-10	0	0	0	0	0	3
23	13	0	0.514915673	2.57027895e-09	8.6704737e-10	4.60311809e-15	2.57027895e-09	8.67042767e-10	0	0	0	0	0	3
24	13	0	0.537303311	2.6660145e-09	9.82960844e-10	2.70849805e-13	2.6660145e-09	9.82823117e-10	0	0	0	0	0	3
25	14	0	0.559690949	2.33809974e-09	1.08460558e-09	5.57146102e-13	2.6660145e-09	1.08432805e-09	0	0	0	0	0	3
26	14	0	0.582078587	2.323968e-09	1.18562344e-09	8.69846064e-13	2.6660145e-09	1.18519783e-09	0	0	0	0	0	3
27	14	0	0.604466225	2.02942616e-09	1.27382154e-09	1.38466097e-12	2.6660145e-09	1.27320412e-09	0	0	0	0	0	3
28	15	0	0.626853863	2.02887006e-09	1.36197308e-09	2.3769361e-12	2.6660145e-09	1.36106241e-09	0	0	0	0	0	3
29	15	0	0.649241501	1.95727437e-09	1.44696862e-09	6.78141779e-12	2.6660145e-09	1.44521927e-09	0	0	0	0	0	3
30	15	0	0.671629139	1.96679369e-09	1.53218655e-09	3.5146054e-11	2.6660145e-09	1.52626261e-09	0	0	0	0	0	3
31	16	0	0.694016777	2.01275999e-09	1.61816976e-09	1.71892891e-10	2.6660145e-09	1.59380483e-09	0	0	0	0	0	3
32	16	0	0.716404415	1.87952319e-09	1.69241456e-09	4.31583541e-10	2.6660145e-09	1.62732776e-09	0	0	0	0	0	3
