Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.022387638	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0447752759	-1.39235744e-19	-6.96178721e-20	-1.39235744e-19	0	6.96178721e-20	0	0	0	0	0	3
3	5	0	0.0671629139	1.0043869e-17	3.30154443e-18	-1.39235744e-19	1.0043869e-17	3.3711623e-18	0	0	0	0	0	3
4	6	0	0.0895505519	1.95211872e-17	7.35645512e-18	-1.39235744e-19	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
5	6	0	0.11193819	1.93212064e-19	5.92380651e-18	-1.39235744e-19	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
6	7	0	0.134325828	1.46419621e-21	4.93674945e-18	-1.39235744e-19	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
7	7	0	0.156713466	-3.65479123e-21	4.23097742e-18	-1.39235744e-19	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
8	7	0	0.179101104	-1.15747417e-20	3.7006584e-18	-1.39235744e-19	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
9	8	0	0.201488742	6.21390366e-21	3.29016457e-18	-1.39235744e-19	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
10	8	0	0.22387638	4.6739136e-19	3.00788725e-18	-1.39235744e-19	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
11	9	0	0.246264018	1.33431851e-18	2.85574463e-18	-1.39235744e-19	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
12	9	0	0.268651656	9.80052233e-19	2.69943693e-18	-1.39235744e-19	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
13	9	0	0.291039294	-2.27816388e-18	2.31654456e-18	-2.27816388e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
14	10	0	0.313426932	-2.63927044e-19	2.13222516e-18	-2.27816388e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
15	10	0	0.33581457	-4.00605497e-18	1.72300649e-18	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
16	10	0	0.358202208	-3.26432588e-19	1.59491654e-18	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
17	11	0	0.380589846	5.65599389e-19	1.53436848e-18	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
18	11	0	0.402977484	-2.96669616e-18	1.28430933e-18	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
19	11	0	0.425365122	-2.9200546e-18	1.06302702e-18	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
20	12	0	0.447752759	-1.68176142e-18	9.25787595e-19	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
21	12	0	0.470140397	8.24032012e-19	9.20942092e-19	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
22	13	0	0.492528035	7.68426991e-19	9.14009587e-19	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
23	13	0	0.514915673	1.45002932e-18	9.37314793e-19	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
24	13	0	0.537303311	1.04804036e-18	9.82881765e-19	-4.00605497e-18	1.95211872e-17	7.42607299e-18	0	0	0	0	0	3
25	14	0	0.559690949	-6.51875846e-18	7.05511212e-19	-6.51875846e-18	1.95211872e-17	6.6509439e-18	0	0	0	0	0	3
26	14	0	0.582078587	4.01031183e-19	2.86257393e-19	-6.51875846e-18	1.95211872e-17	7.07019772e-18	0	0	0	0	0	3
