Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.022387638	100780.001	100780.001	100780.001	100780.001	0	0	0	0	0	0	3
2	4	0	0.0447752759	100780.001	100780.001	100780.001	100780.001	2.91038305e-11	0	0	0	0	0	3
3	5	0	0.0671629139	100780.001	100780.001	100780.001	100780.001	2.91038305e-11	0	0	0	0	0	3
4	6	0	0.0895505519	100780.001	100780.001	100780.001	100780.001	2.91038305e-11	0	0	0	0	0	3
5	6	0	0.11193819	100780.001	100780.001	100780.001	100780.001	4.8748916e-09	0	0	0	0	0	3
6	7	0	0.134325828	100780.001	100780.001	100780.001	100780.001	5.5442797e-09	0	0	0	0	0	3
7	7	0	0.156713466	100780.001	100780.001	100780.001	100780.001	5.96628524e-09	0	0	0	0	0	3
8	7	0	0.179101104	100780.001	100780.001	100780.001	100780.001	6.38829079e-09	0	0	0	0	0	3
9	8	0	0.201488742	100780.001	100780.001	100780.001	100780.001	6.85395207e-09	0	0	0	0	0	3
10	8	0	0.22387638	100780.001	100780.001	100780.001	100780.001	7.27595761e-09	0	0	0	0	0	3
11	9	0	0.246264018	100780.001	100780.001	100780.001	100780.001	7.66885933e-09	0	0	0	0	0	3
12	9	0	0.268651656	100780.001	100780.001	100780.001	100780.001	8.03265721e-09	0	0	0	0	0	3
13	9	0	0.291039294	100780.001	100780.001	100780.001	100780.001	8.38190317e-09	0	0	0	0	0	3
14	10	0	0.313426932	100780.001	100780.001	100780.001	100780.001	8.71659722e-09	0	0	0	0	0	3
15	10	0	0.33581457	100780.001	100780.001	100780.001	100780.001	9.05129127e-09	0	0	0	0	0	3
16	10	0	0.358202208	100780.001	100780.001	100780.001	100780.001	9.38598532e-09	0	0	0	0	0	3
17	11	0	0.380589846	100780.001	100780.001	100780.001	100780.001	9.67702363e-09	0	0	0	0	0	3
18	11	0	0.402977484	100780.001	100780.001	100780.001	100780.001	9.98261385e-09	0	0	0	0	0	3
19	11	0	0.425365122	100780.001	100780.001	100780.001	100780.001	1.02736522e-08	0	0	0	0	0	3
20	12	0	0.447752759	100780.001	100780.001	100780.001	100780.001	1.05646905e-08	0	0	0	0	0	3
21	12	0	0.470140397	100780.001	100780.001	100780.001	100780.001	1.08557288e-08	0	0	0	0	0	3
22	13	0	0.492528035	100780.001	100780.001	100780.001	100780.001	1.11176632e-08	0	0	0	0	0	3
23	13	0	0.514915673	100780.001	100780.001	100780.001	100780.001	1.13650458e-08	0	0	0	0	0	3
24	13	0	0.537303311	100780.001	100780.001	100780.001	100780.001	1.21362973e-08	0	0	0	0	0	3
25	14	0	0.559690949	100780.001	100780.001	100780.001	100780.001	1.2878445e-08	0	0	0	0	0	3
26	14	0	0.582078587	100780.001	100780.001	100780.001	100780.001	1.36642484e-08	0	0	0	0	0	3
27	14	0	0.604466225	100780.001	100780.001	100780.001	100780.001	9.58971214e-09	0	0	0	0	0	3
28	15	0	0.626853863	100780.001	100780.001	100780.001	100780.001	8.92032403e-09	0	0	0	0	0	3
29	15	0	0.649241501	100780.001	100780.001	100780.001	100780.001	8.62928573e-09	0	0	0	0	0	3
30	15	0	0.671629139	100780.001	100780.001	100780.001	100780.001	8.65838956e-09	0	0	0	0	0	3
31	16	0	0.694016777	100780.001	100780.001	100780.001	100780.001	8.06176104e-09	0	0	0	0	0	3
32	16	0	0.716404415	100780.001	100780.001	100780.001	100780.001	7.49423634e-09	0	0	0	0	0	3
33	16	0	0.738792053	100780.001	100780.001	100780.001	100780.001	7.11588655e-09	0	0	0	0	0	3
34	17	0	0.761179691	100780.001	100780.001	100780.001	100780.001	6.7811925e-09	0	0	0	0	0	3
35	17	0	0.783567329	100780.001	100780.001	100780.001	100780.001	6.34463504e-09	0	0	0	0	0	3
36	18	0	0.805954967	100780.001	100780.001	100780.001	100780.001	5.77711035e-09	0	0	0	0	0	3
37	18	0	0.828342605	100780.001	100780.001	100780.001	100780.001	5.2532414e-09	0	0	0	0	0	3
38	19	0	0.850730243	100780.001	100780.001	100780.001	100780.001	4.84578777e-09	0	0	0	0	0	3
39	19	0	0.873117881	100780.001	100780.001	100780.001	100780.001	4.43833414e-09	0	0	0	0	0	3
40	19	0	0.895505519	100780.001	100780.001	100780.001	100780.001	4.04543243e-09	0	0	0	0	0	3
41	20	0	0.917893157	100780.001	100780.001	100780.001	100780.001	3.62342689e-09	0	0	0	0	0	3
42	20	0	0.940280795	100780.001	100780.001	100780.001	100780.001	3.18686944e-09	0	0	0	0	0	3
43	21	0	0.962668433	100780.001	100780.001	100780.001	100780.001	2.83762347e-09	0	0	0	0	0	3
44	21	0	0.985056071	100780.001	100780.001	100780.001	100780.001	2.4883775e-09	0	0	0	0	0	3
45	21	0	1.00744371	100780.001	100780.001	100780.001	100780.001	2.08092388e-09	0.00100780001	0	100	0	0	3
46	22	0	1.02983135	100780.001	100780.001	100780.001	100780.001	1.80443749e-09	0.00100780001	0	100	0	0	3
47	22	0	1.05221898	100780.001	100780.001	100780.001	100780.001	1.5279511e-09	0.00100780001	0	100	0	0	3
48	23	0	1.07460662	100780.001	100780.001	100780.001	100780.001	1.3387762e-09	0.00100780001	0	100	0	0	3
49	23	0	1.09699426	100780.001	100780.001	100780.001	100780.001	1.25146471e-09	0.00100780001	0	100	0	0	3
50	24	0	1.1193819	100780.001	100780.001	100780.001	100780.001	1.10594556e-09	0.00100780001	0	100	0	0	3
51	25	0	1.14176954	100780.001	100780.001	100780.001	100780.001	9.89530236e-10	0.00100780001	0	100	0	0	3
52	25	0	1.16415717	100780.001	100780.001	100780.001	100780.001	8.73114914e-10	0.00100780001	0	100	0	0	3
53	25	0	1.18654481	100780.001	100780.001	100780.001	100780.001	8.14907253e-10	0.00100780001	0	100	0	0	3
54	26	0	1.20893245	100780.001	100780.001	100780.001	100780.001	7.42147677e-10	0.00100780001	0	100	0	0	3
