Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.022387638	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0447752759	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0671629139	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0895505519	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.11193819	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.134325828	0	0	0	0	0	0	0	0	0	0	3
7	7	0	0.156713466	0	0	0	0	0	0	0	0	0	0	3
8	7	0	0.179101104	0	0	0	0	0	0	0	0	0	0	3
9	8	0	0.201488742	0	0	0	0	0	0	0	0	0	0	3
10	8	0	0.22387638	0	0	0	0	0	0	0	0	0	0	3
11	9	0	0.246264018	0	0	0	0	0	0	0	0	0	0	3
12	9	0	0.268651656	0	0	0	0	0	0	0	0	0	0	3
13	9	0	0.291039294	0	0	0	0	0	0	0	0	0	0	3
14	10	0	0.313426932	0	0	0	0	0	0	0	0	0	0	3
15	10	0	0.33581457	0	0	0	0	0	0	0	0	0	0	3
16	10	0	0.358202208	0	0	0	0	0	0	0	0	0	0	3
17	11	0	0.380589846	0	0	0	0	0	0	0	0	0	0	3
18	11	0	0.402977484	0	0	0	0	0	0	0	0	0	0	3
19	11	0	0.425365122	0	0	0	0	0	0	0	0	0	0	3
20	12	0	0.447752759	0	0	0	0	0	0	0	0	0	0	3
21	12	0	0.470140397	0	0	0	0	0	0	0	0	0	0	3
22	13	0	0.492528035	0	0	0	0	0	0	0	0	0	0	3
23	13	0	0.514915673	0	0	0	0	0	0	0	0	0	0	3
24	13	0	0.537303311	0	0	0	0	0	0	0	0	0	0	3
25	14	0	0.559690949	0	0	0	0	0	0	0	0	0	0	3
26	14	0	0.582078587	0	0	0	0	0	0	0	0	0	0	3
27	14	0	0.604466225	0	0	0	0	0	0	0	0	0	0	3
28	15	0	0.626853863	0	0	0	0	0	0	0	0	0	0	3
29	15	0	0.649241501	0	0	0	0	0	0	0	0	0	0	3
30	15	0	0.671629139	0	0	0	0	0	0	0	0	0	0	3
31	16	0	0.694016777	0	0	0	0	0	0	0	0	0	0	3
32	16	0	0.716404415	0	0	0	0	0	0	0	0	0	0	3
33	16	0	0.738792053	0	0	0	0	0	0	0	0	0	0	3
34	17	0	0.761179691	0	0	0	0	0	0	0	0	0	0	3
35	17	0	0.783567329	0	0	0	0	0	0	0	0	0	0	3
36	18	0	0.805954967	0	0	0	0	0	0	0	0	0	0	3
37	18	0	0.828342605	0	0	0	0	0	0	0	0	0	0	3
38	19	0	0.850730243	0	0	0	0	0	0	0	0	0	0	3
39	19	0	0.873117881	0	0	0	0	0	0	0	0	0	0	3
40	19	0	0.895505519	0	0	0	0	0	0	0	0	0	0	3
41	20	0	0.917893157	0	0	0	0	0	0	0	0	0	0	3
42	20	0	0.940280795	0	0	0	0	0	0	0	0	0	0	3
43	21	0	0.962668433	0	0	0	0	0	0	0	0	0	0	3
44	21	0	0.985056071	0	0	0	0	0	0	0	0	0	0	3
45	21	0	1.00744371	0	0	0	0	0	1e-08	0	100	0	0	3
46	22	0	1.02983135	0	0	0	0	0	1e-08	0	100	0	0	3
47	22	0	1.05221898	0	0	0	0	0	1e-08	0	100	0	0	3
48	23	0	1.07460662	0	0	0	0	0	1e-08	0	100	0	0	3
49	23	0	1.09699426	0	0	0	0	0	1e-08	0	100	0	0	3
50	24	0	1.1193819	0	0	0	0	0	1e-08	0	100	0	0	3
51	25	0	1.14176954	0	0	0	0	0	1e-08	0	100	0	0	3
52	25	0	1.16415717	0	0	0	0	0	1e-08	0	100	0	0	3
53	25	0	1.18654481	0	0	0	0	0	1e-08	0	100	0	0	3
54	26	0	1.20893245	0	0	0	0	0	1e-08	0	100	0	0	3
