Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.022387638	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0447752759	-1.38896251e-16	-6.94481256e-17	-1.38896251e-16	0	6.94481256e-17	0	0	0	0	0	3
3	5	0	0.0671629139	1.00193795e-14	3.2934944e-15	-1.38896251e-16	1.00193795e-14	3.36294253e-15	0	0	0	0	0	3
4	6	0	0.0895505519	1.94735894e-14	7.33851816e-15	-1.38896251e-16	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
5	6	0	0.11193819	1.92740965e-16	5.90936272e-15	-1.38896251e-16	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
6	7	0	0.134325828	1.46062946e-18	4.92471237e-15	-1.38896251e-16	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
7	7	0	0.156713466	-3.64587324e-18	4.22066119e-15	-1.38896251e-16	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
8	7	0	0.179101104	-1.15464973e-17	3.69163523e-15	-1.38896251e-16	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
9	8	0	0.201488742	6.19887603e-18	3.2821423e-15	-1.38896251e-16	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
10	8	0	0.22387638	4.66252318e-16	3.00055331e-15	-1.38896251e-16	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
11	9	0	0.246264018	1.33106651e-15	2.84878178e-15	-1.38896251e-16	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
12	9	0	0.268651656	9.77665161e-16	2.69285539e-15	-1.38896251e-16	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
13	9	0	0.291039294	-2.27260586e-15	2.31089684e-15	-2.27260586e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
14	10	0	0.313426932	-2.6328004e-16	2.12702706e-15	-2.27260586e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
15	10	0	0.33581457	-3.99628313e-15	1.71880638e-15	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
16	10	0	0.358202208	-3.25632349e-16	1.59102896e-15	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
17	11	0	0.380589846	5.64225308e-16	1.53062874e-15	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
18	11	0	0.402977484	-2.95945684e-15	1.28117955e-15	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
19	11	0	0.425365122	-2.91292825e-15	1.06043703e-15	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
20	12	0	0.447752759	-1.67765385e-15	9.23532486e-16	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
21	12	0	0.470140397	8.22030862e-16	9.18699075e-16	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
22	13	0	0.492528035	7.66562516e-16	9.11783777e-16	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
23	13	0	0.514915673	1.44650397e-15	9.35032481e-16	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
24	13	0	0.537303311	1.04549583e-15	9.80488822e-16	-3.99628313e-15	1.94735894e-14	7.40796629e-15	0	0	0	0	0	3
25	14	0	0.559690949	-6.50285293e-15	7.03795053e-16	-6.50285293e-15	1.94735894e-14	6.63472311e-15	0	0	0	0	0	3
26	14	0	0.582078587	4.00063891e-16	2.85563941e-16	-6.50285293e-15	1.94735894e-14	7.05295422e-15	0	0	0	0	0	3
27	14	0	0.604466225	-1.38910954e-15	-6.21509927e-16	-6.50285293e-15	1.44650397e-15	6.53087265e-15	0	0	0	0	0	3
28	15	0	0.626853863	-5.93485606e-16	-6.55693691e-16	-6.50285293e-15	1.44650397e-15	5.58040606e-15	0	0	0	0	0	3
29	15	0	0.649241501	1.92141246e-15	-5.72217524e-16	-6.50285293e-15	1.92141246e-15	4.87635489e-15	0	0	0	0	0	3
30	15	0	0.671629139	-3.62883635e-16	-5.87836557e-16	-6.50285293e-15	1.92141246e-15	4.34732892e-15	0	0	0	0	0	3
31	16	0	0.694016777	1.52665196e-15	-5.20958364e-16	-6.50285293e-15	1.92141246e-15	3.937836e-15	0	0	0	0	0	3
