Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.022387638	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	4	0	0.0447752759	293.2	293.2	293.2	293.2	1.0105623e-09	0	0	0	0	0	3
3	5	0	0.0671629139	293.2	293.2	293.2	293.2	1.99139549e-09	0	0	0	0	0	3
4	6	0	0.0895505519	293.2	293.2	293.2	293.2	2.95193558e-09	0	0	0	0	0	3
5	6	0	0.11193819	293.2	293.2	293.2	293.2	3.92356014e-09	0	0	0	0	0	3
6	7	0	0.134325828	293.2	293.2	293.2	293.2	5.267907e-09	0	0	0	0	0	3
7	7	0	0.156713466	293.2	293.2	293.2	293.2	7.48025286e-09	0	0	0	0	0	3
8	7	0	0.179101104	293.2	293.2	293.2	293.2	1.04358833e-08	0	0	0	0	0	3
9	8	0	0.201488742	293.2	293.2	293.2	293.2	1.36081439e-08	0	0	0	0	0	3
10	8	0	0.22387638	293.2	293.2	293.2	293.2	1.66863856e-08	0	0	0	0	0	3
11	9	0	0.246264018	293.2	293.2	293.2	293.2	1.96353653e-08	0	0	0	0	0	3
12	9	0	0.268651656	293.2	293.2	293.2	293.2	2.2527729e-08	0	0	0	0	0	3
13	9	0	0.291039294	293.2	293.2	293.2	293.2	2.53377266e-08	0	0	0	0	0	3
14	10	0	0.313426932	293.2	293.2	293.2	293.2	2.80310815e-08	0	0	0	0	0	3
15	10	0	0.33581457	293.2	293.2	293.2	293.2	3.05932417e-08	0	0	0	0	0	3
16	10	0	0.358202208	293.2	293.2	293.2	293.2	3.30275611e-08	0	0	0	0	0	3
17	11	0	0.380589846	293.2	293.2	293.2	293.2	3.53392693e-08	0	0	0	0	0	3
18	11	0	0.402977484	293.2	293.2	293.2	293.2	3.75265472e-08	0	0	0	0	0	3
19	11	0	0.425365122	293.2	293.2	293.2	293.2	3.96491942e-08	0	0	0	0	0	3
20	12	0	0.447752759	293.2	293.2	293.2	293.2	4.16794705e-08	0	0	0	0	0	3
21	12	0	0.470140397	293.2	293.2	293.2	293.2	4.35488232e-08	0	0	0	0	0	3
22	13	0	0.492528035	293.2	293.2	293.2	293.2	4.52524205e-08	0	0	0	0	0	3
23	13	0	0.514915673	293.2	293.2	293.2	293.2	4.68080543e-08	0	0	0	0	0	3
24	13	0	0.537303311	293.2	293.2	293.2	293.2	4.93206471e-08	0	0	0	0	0	3
25	14	0	0.559690949	293.2	293.2	293.2	293.2	5.17751459e-08	0	0	0	0	0	3
26	14	0	0.582078587	293.2	293.2	293.2	293.2	5.41659801e-08	0	0	0	0	0	3
27	14	0	0.604466225	293.2	293.2	293.2	293.2	5.64638754e-08	0	0	0	0	0	3
28	15	0	0.626853863	293.2	293.2	293.2	293.2	5.83032715e-08	0	0	0	0	0	3
29	15	0	0.649241501	293.2	293.2	293.2	293.2	5.90927698e-08	0	0	0	0	0	3
30	15	0	0.671629139	293.2	293.2	293.2	293.2	4.99114208e-08	0	0	0	0	0	3
31	16	0	0.694016777	293.2	293.2	293.2	293.2	4.20502602e-08	0	0	0	0	0	3
32	16	0	0.716404415	293.2	293.2	293.2	293.2	3.66460426e-08	0	0	0	0	0	3
33	16	0	0.738792053	293.2	293.2	293.2	293.2	3.19110427e-08	0	0	0	0	0	3
34	17	0	0.761179691	293.2	293.2	293.2	293.2	2.66930442e-08	0	0	0	0	0	3
35	17	0	0.783567329	293.2	293.2	293.2	293.2	2.19787921e-08	0	0	0	0	0	3
36	18	0	0.805954967	293.2	293.2	293.2	293.2	1.79929316e-08	0	0	0	0	0	3
37	18	0	0.828342605	293.2	293.2	293.2	293.2	1.45732884e-08	0	0	0	0	0	3
38	19	0	0.850730243	293.2	293.2	293.2	293.2	1.14957857e-08	0	0	0	0	0	3
39	19	0	0.873117881	293.2	293.2	293.2	293.2	8.71148131e-09	0	0	0	0	0	3
40	19	0	0.895505519	293.2	293.2	293.2	293.2	6.32826413e-09	0	0	0	0	0	3
41	20	0	0.917893157	293.2	293.2	293.2	293.2	3.18340199e-09	0	0	0	0	0	3
42	20	0	0.940280795	293.2	293.2	293.2	293.2	7.82335974e-10	0	0	0	0	0	3
43	21	0	0.962668433	293.2	293.2	293.2	293.2	1.0425083e-10	0	0	0	0	0	3
44	21	0	0.985056071	293.2	293.2	293.2	293.2	9.66338121e-12	0	0	0	0	0	3
45	21	0	1.00744371	293.2	293.2	293.2	293.2	8.1286089e-12	2.932e-06	0	0	0	0	3
46	22	0	1.02983135	293.2	293.2	293.2	293.2	8.07176548e-12	2.932e-06	0	0	0	0	3
47	22	0	1.05221898	293.2	293.2	293.2	293.2	8.07176548e-12	2.932e-06	0	0	0	0	3
48	23	0	1.07460662	293.2	293.2	293.2	293.2	8.07176548e-12	2.932e-06	0	0	0	0	3
49	23	0	1.09699426	293.2	293.2	293.2	293.2	8.07176548e-12	2.932e-06	0	0	0	0	3
50	24	0	1.1193819	293.2	293.2	293.2	293.2	8.07176548e-12	2.932e-06	0	0	0	0	3
51	25	0	1.14176954	293.2	293.2	293.2	293.2	8.07176548e-12	2.932e-06	0	0	0	0	3
52	25	0	1.16415717	293.2	293.2	293.2	293.2	8.07176548e-12	2.932e-06	0	0	0	0	3
53	25	0	1.18654481	293.2	293.2	293.2	293.2	8.64019967e-12	2.932e-06	0	0	0	0	3
54	26	0	1.20893245	293.2	293.2	293.2	293.2	8.64019967e-12	2.932e-06	0	0	0	0	3
