Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0223316486
2	5	0	0.0446632973
3	5	0	0.0669949459
4	5	0	0.0893265946
5	5	0	0.111658243
6	6	0	0.133989892
7	6	0	0.156321541
8	6	0	0.178653189
9	7	0	0.200984838
10	7	0	0.223316486
11	7	0	0.245648135
12	8	0	0.267979784
13	8	0	0.290311432
14	8	0	0.312643081
15	9	0	0.33497473
16	9	0	0.357306378
17	10	0	0.379638027
18	10	0	0.401969676
19	10	0	0.424301324
20	10	0	0.446632973
21	11	0	0.468964622
22	11	0	0.49129627
23	12	0	0.513627919
24	12	0	0.535959568
25	12	0	0.558291216
26	13	0	0.580622865
27	13	0	0.602954514
28	13	0	0.625286162
29	14	0	0.647617811
30	14	0	0.669949459
31	14	0	0.692281108
32	15	0	0.714612757
33	15	0	0.736944405
34	15	0	0.759276054
35	16	0	0.781607703
36	16	0	0.803939351
37	16	0	0.826271
38	17	0	0.848602649
39	17	0	0.870934297
40	17	0	0.893265946
41	18	0	0.915597595
42	18	0	0.937929243
43	18	0	0.960260892
44	18	0	0.982592541
45	19	0	1.00492419
46	19	0	1.02725584
47	20	0	1.04958749
48	20	0	1.07191914
49	20	0	1.09425078
50	21	0	1.11658243
51	21	0	1.13891408
52	22	0	1.16124573
53	22	0	1.18357738
54	23	0	1.20590903
55	23	0	1.22824068
56	23	0	1.25057232
57	24	0	1.27290397
58	24	0	1.29523562
59	24	0	1.31756727
60	25	0	1.33989892
61	25	0	1.36223057
62	26	0	1.38456222
63	26	0	1.40689386
64	27	0	1.42922551
65	27	0	1.45155716
66	28	0	1.47388881
67	28	0	1.49622046
68	28	0	1.51855211
69	29	0	1.54088376
70	29	0	1.56321541
71	30	0	1.58554705
72	30	0	1.6078787
73	30	0	1.63021035
74	31	0	1.652542
75	31	0	1.67487365
76	32	0	1.6972053
77	32	0	1.71953695
78	32	0	1.74186859
