Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.0155686651	101334.12	101334.12	101334.12	101334.12	0	0	0	0	0	0	3
2	11	0	0.0311373302	101325	101329.56	101325	101334.12	4.55985085	0	0	0	0	0	3
3	12	0	0.0467059953	101324.989	101328.037	101324.989	101334.12	6.08346807	0	0	0	0	0	3
4	13	0	0.0622746604	101324.955	101327.266	101324.955	101334.12	6.85380348	0	0	0	0	0	3
5	14	0	0.0778433256	101324.97	101326.807	101324.955	101334.12	7.31306682	0	0	0	0	0	3
6	15	0	0.0934119907	101324.952	101326.498	101324.952	101334.12	7.62218211	0	0	0	0	0	3
7	16	0	0.108980656	101324.96	101326.278	101324.952	101334.12	7.84189436	0	0	0	0	0	3
8	17	0	0.124549321	101324.943	101326.111	101324.943	101334.12	8.00872097	0	0	0	0	0	3
9	18	0	0.140117986	101324.935	101325.981	101324.935	101334.12	8.13940614	0	0	0	0	0	3
10	19	0	0.155686651	101324.933	101325.876	101324.933	101334.12	8.24414034	0	0	0	0	0	3
11	20	0	0.171255316	101324.925	101325.789	101324.925	101334.12	8.3306262	0	0	0	0	0	3
12	21	0	0.186823981	101324.906	101325.716	101324.906	101334.12	8.40423078	0	0	0	0	0	3
13	22	0	0.202392646	101324.886	101325.652	101324.886	101334.12	8.46802451	0	0	0	0	0	3
14	23	0	0.217961312	101324.863	101325.596	101324.863	101334.12	8.52439258	0	0	0	0	0	3
15	23	0	0.233529977	101324.84	101325.545	101324.84	101334.12	8.57479582	0	0	0	0	0	3
16	24	0	0.249098642	101324.806	101325.499	101324.806	101334.12	8.6209674	0	0	0	0	0	3
17	25	0	0.264667307	101324.762	101325.456	101324.762	101334.12	8.66430419	0	0	0	0	0	3
18	26	0	0.280235972	101324.727	101325.415	101324.727	101334.12	8.70478819	0	0	0	0	0	3
19	27	0	0.295804637	101324.69	101325.377	101324.69	101334.12	8.74296342	0	0	0	0	0	3
20	28	0	0.311373302	101324.654	101325.341	101324.654	101334.12	8.77911433	0	0	0	0	0	3
21	29	0	0.326941967	101324.611	101325.306	101324.611	101334.12	8.81385004	0	0	0	0	0	3
22	30	0	0.342510632	101324.568	101325.273	101324.568	101334.12	8.8473892	0	0	0	0	0	3
23	31	0	0.358079298	101324.543	101325.241	101324.543	101334.12	8.87911493	0	0	0	0	0	3
24	33	0	0.373647963	101324.538	101325.212	101324.538	101334.12	8.90841846	0	0	0	0	0	3
25	33	0	0.389216628	101324.562	101325.186	101324.538	101334.12	8.93439693	0	0	0	0	0	3
26	35	0	0.404785293	101324.649	101325.165	101324.538	101334.12	8.95502868	0	0	0	0	0	3
27	36	0	0.420353958	101324.799	101325.151	101324.538	101334.12	8.96857508	0	0	0	0	0	3
28	37	0	0.435922623	101324.972	101325.145	101324.538	101334.12	8.97496541	0	0	0	0	0	3
29	37	0	0.451491288	101325.116	101325.144	101324.538	101334.12	8.97594969	0	0	0	0	0	3
30	38	0	0.467059953	101325.195	101325.146	101324.538	101334.12	8.97594969	0	0	0	0	0	3
31	39	0	0.482628618	101325.186	101325.147	101324.538	101334.12	8.97594969	0	0	0	0	0	3
32	40	0	0.498197284	101325.141	101325.147	101324.538	101334.12	8.97594969	0	0	0	0	0	3
33	41	0	0.513765949	101325.094	101325.145	101324.538	101334.12	8.97594969	0	0	0	0	0	3
34	42	0	0.529334614	101325.056	101324.871	101324.538	101325.195	0.657276042	0	0	0	0	0	3
35	43	0	0.544903279	101325.032	101324.872	101324.538	101325.195	0.657276042	0	0	0	0	0	3
36	44	0	0.560471944	101325.017	101324.872	101324.538	101325.195	0.657276042	0	0	0	0	0	3
37	45	0	0.576040609	101325.003	101324.874	101324.538	101325.195	0.657276042	0	0	0	0	0	3
38	46	0	0.591609274	101324.994	101324.875	101324.538	101325.195	0.657276042	0	0	0	0	0	3
39	47	0	0.607177939	101324.993	101324.876	101324.538	101325.195	0.657276042	0	0	0	0	0	3
40	48	0	0.622746604	101324.998	101324.877	101324.538	101325.195	0.657276042	0	0	0	0	0	3
41	49	0	0.63831527	101325.002	101324.879	101324.538	101325.195	0.657276042	0	0	0	0	0	3
42	50	0	0.653883935	101324.999	101324.881	101324.538	101325.195	0.657276042	0	0	0	0	0	3
43	51	0	0.6694526	101324.995	101324.883	101324.538	101325.195	0.657276042	0	0	0	0	0	3
44	51	0	0.685021265	101324.994	101324.885	101324.538	101325.195	0.657276042	0	0	0	0	0	3
45	53	0	0.70058993	101324.998	101324.887	101324.538	101325.195	0.657276042	0	0	0	0	0	3
46	53	0	0.716158595	101324.999	101324.891	101324.538	101325.195	0.657276042	0	0	0	0	0	3
47	54	0	0.73172726	101324.996	101324.895	101324.538	101325.195	0.657276042	0	0	0	0	0	3
48	55	0	0.747295925	101324.993	101324.899	101324.538	101325.195	0.628441661	0	0	0	0	0	3
49	56	0	0.76286459	101324.991	101324.905	101324.538	101325.195	0.585104871	0	0	0	0	0	3
50	57	0	0.778433256	101324.995	101324.912	101324.538	101325.195	0.544620863	0	0	0	0	0	3
51	58	0	0.794001921	101324.998	101324.92	101324.538	101325.195	0.506445638	0	0	0	0	0	3
52	59	0	0.809570586	101324.997	101324.93	101324.538	101325.195	0.470294732	0	0	0	0	0	3
53	60	0	0.825139251	101324.994	101324.94	101324.538	101325.195	0.435559014	0	0	0	0	0	3
54	60	0	0.840707916	101324.993	101324.951	101324.538	101325.195	0.402019861	0	0	0	0	0	3
55	61	0	0.856276581	101324.995	101324.964	101324.538	101325.195	0.370294123	0	0	0	0	0	3
56	62	0	0.871845246	101324.997	101324.978	101324.538	101325.195	0.340990593	0	0	0	0	0	3
57	63	0	0.887413911	101324.997	101324.992	101324.562	101325.195	0.315012127	0	0	0	0	0	3
58	64	0	0.902982576	101324.994	101325.005	101324.649	101325.195	0.294380375	0	0	0	0	0	3
59	65	0	0.918551242	101324.993	101325.016	101324.799	101325.195	0.280833976	0	0	0	0	0	3
60	66	0	0.934119907	101324.995	101325.022	101324.972	101325.195	0.222380588	0	0	0	0	0	3
61	67	0	0.949688572	101324.997	101325.022	101324.991	101325.195	0.203401156	0	0	0	0	0	3
62	68	0	0.965257237	101324.996	101325.019	101324.991	101325.195	0.203401156	0	0	0	0	0	3
63	70	0	0.980825902	101324.995	101325.013	101324.991	101325.186	0.194148261	0	0	0	0	0	3
64	71	0	0.996394567	101324.995	101325.007	101324.991	101325.141	0.149973688	0	0	0	0	0	3
65	72	0	1.01196323	101324.996	101325.002	101324.991	101325.094	0.102848783	0.0197182813	0	19.1	0	0	3
66	73	0	1.0275319	101324.997	101324.999	101324.991	101325.056	0.0642939837	0.0197182813	0	30.6	0	0	3
67	74	0	1.04310056	101324.997	101324.998	101324.991	101325.032	0.0400835016	0.0197182813	0	49.1	0	0	3
